onboard_time,data
266251,5223
486631514,-2
486651525,-2
486671514,-3
486691606,-2
486786971,-3
486787056,-3
486787140,-3
486787225,-3
486791703,-3
486808094,-2
486828106,-3
486848095,-2
486867760,-3
486888176,-2
486908094,-2
486928570,-3
486948105,-2
486968095,-3
486987759,-2
487011741,-2
487031731,-2
487051731,-2
487071740,-2
487091801,-2
487111730,-2
487131740,-2
487151730,-2
487171731,-2
487191812,-2
487211730,-2
487231731,-2
487251742,-2
487271395,-1
487291800,-3
487311586,-2
487331577,-2
487351577,-2
487371242,-2
487391648,-2
487408213,-2
487428223,-2
487447877,-2
487471529,-2
487488294,-2
487508213,-3
487528366,-4
487548031,-3
487568366,-3
487588437,-2
487611735,-2
487631724,-3
487651725,-3
487671741,-2
487695751,-2
487711726,-2
487731739,-2
487751390,-2
487771725,-2
487791811,-2
487825492,-2
487825577,-2
487843492,-2
487863477,-3
487883548,-2
487911428,-2
487931413,-3
487951078,-2
487971428,-3
487991484,-3
488008698,-2
488028722,-3
488048698,-2
488068699,-2
488088784,-2
488108363,-2
488128698,-2
488148707,-2
488168699,-2
488188769,-2
488211737,-3
488235266,-2
488251722,-2
488271739,-2
488291793,-2
488311723,-2
488331738,-2
488351724,-2
488371723,-3
488391809,-2
488411724,-2
488431721,-2
488452144,-2
488471721,-2
488491792,-1
488511728,-2
488531718,-2
488551383,-2
488571730,-2
488591789,-2
488609099,-2
488629111,-2
488649100,-3
488668764,-2
488689181,-2
488709099,-2
488729101,-2
488748766,-2
488769101,-2
488789172,-2
488811730,-1
488831719,-3
488851719,-3
488871729,-3
488920252,-2
488920681,-2
488931679,-2
488951670,-2
488971671,-2
488995786,-3
489011670,-2
489031383,-3
489051728,-2
489071719,-2
489091789,-4
489111383,-3
489131718,-3
489151383,-2
489171730,-2
489191383,-3
489208264,-2
489228610,-2
489248599,-2
489268600,-2
489288684,-2
489308599,-2
489329402,-2
489349418,-2
489369402,-3
489389472,-2
489411831,-2
489431817,-2
489451817,-2
489471482,-2
489491888,-2
489511817,-2
489531827,-2
489551817,-2
489571818,-2
489591899,-2
489611818,-2
489631379,-2
489651726,-2
489671379,-2
489691784,-2
489711723,-1
489731712,-1
489754132,-2
489771722,-2
489791783,-2
489809703,-3
489829713,-2
489849703,-2
489869704,-2
489889790,-2
489909703,-2
489929368,-2
489949718,-2
490003808,-2
490003894,-2
490011720,-2
490031711,-2
490051712,-3
490071721,-2
490091782,-2
490111376,-2
490131723,-2
490151712,-2
490171711,-2
490191792,-2
490211714,-2
490231710,-2
490251724,-2
490271709,-2
490291780,-3
490311727,-2
490331376,-2
490351376,-2
490371729,-2
490391782,-2
490409987,-2
490429997,-2
490449988,-2
490469990,-3
490489652,-3
490512273,-2
490529988,-2
490549999,-2
490569988,-2
490590057,-2
490611822,-2
490631475,-2
490651810,-2
490671819,-2
490691881,-3
490711475,-2
490732047,-2
490751810,-2
490771811,-2
490791893,-2
490811810,-2
