onboard_time,data
266257,10264
486631518,164
486651528,164
486671517,165
486691609,164
486786974,164
486787059,164
486787143,164
486787228,164
486791706,164
486808097,165
486828109,165
486848098,164
486867763,164
486888180,165
486908097,165
486928573,164
486948109,164
486968098,164
486987762,165
487011744,165
487031734,164
487051734,165
487071743,165
487091804,164
487111733,164
487131743,165
487151733,164
487171734,164
487191816,164
487211733,165
487231734,164
487251745,165
487271398,164
487291803,164
487311590,164
487331580,165
487351580,164
487371245,164
487391651,164
487408216,164
487428226,164
487447880,164
487471532,164
487488298,164
487508216,164
487528369,165
487548034,164
487568369,164
487588440,165
487611738,165
487631728,164
487651728,164
487671744,165
487695754,164
487711729,164
487731742,164
487751393,163
487771729,164
487791814,164
487825495,164
487825580,164
487843496,164
487863480,164
487883551,164
487911431,165
487931416,164
487951081,164
487971431,164
487991487,164
488008701,164
488028726,164
488048701,164
488068702,165
488088787,163
488108366,165
488128701,164
488148710,165
488168702,164
488188772,164
488211740,164
488235269,163
488251725,164
488271742,164
488291796,164
488311726,164
488331741,164
488351727,165
488371726,164
488391812,165
488411727,164
488431724,163
488452147,164
488471724,165
488491795,164
488511731,164
488531721,165
488551387,164
488571733,164
488591792,164
488609102,164
488629114,164
488649103,165
488668767,164
488689184,164
488709102,164
488729104,164
488748769,164
488769104,164
488789175,164
488811734,164
488831722,165
488851722,164
488871732,164
488920255,164
488920684,164
488931682,165
488951673,164
488971674,165
488995789,164
489011673,164
489031387,165
489051731,165
489071722,165
489091792,164
489111386,164
489131721,164
489151386,165
489171733,164
489191386,164
489208267,164
489228614,164
489248602,164
489268603,165
489288688,164
489308602,164
489329405,164
489349422,164
489369405,163
489389475,164
489411835,164
489431820,164
489451821,164
489471485,164
489491891,163
489511820,164
489531831,164
489551820,164
489571821,164
489591902,165
489611821,165
489631382,165
489651729,164
489671382,164
489691787,165
489711727,164
489731715,164
489754136,164
489771725,163
489791786,164
489809706,165
489829716,164
489849706,164
489869707,164
489889793,164
489909706,165
489929372,165
489949722,164
490003811,163
490003897,163
490011723,163
490031714,165
490051715,165
490071724,164
490091785,164
490111380,164
490131726,164
490151715,164
490171714,164
490191795,165
490211717,164
490231713,164
490251728,164
490271712,164
490291783,164
490311731,164
490331380,164
490351379,164
490371732,165
490391785,165
490409990,164
490430000,164
490449991,165
490469993,164
490489655,165
490512276,163
490529991,165
490550003,164
490569991,164
490590061,164
490611825,164
490631479,165
490651813,164
490671823,164
490691884,164
490711479,164
490732050,164
490751813,163
490771814,164
490791896,164
490811813,165
490831476,164
490851475,164
490871475,164
490891881,165
490911820,164
490931811,163
490951809,163
490971820,164
490991879,164
491010355,164
491030365,164
491050017,163
491089826,164
491090484,164
491110017,164
491130350,165
491150361,164
491170351,164
491190421,164
491211717,164
491231707,164
491251708,164
491274054,164
491291778,164
491311372,164
491331719,165
491351707,164
491371707,164
491391787,164
491411708,165
491431708,164
491451720,164
491471709,164
491492190,164
491511373,164
491531374,164
491551709,164
491571719,164
491591373,165
491609983,165
491630329,164
491650317,164
491670318,164
491690397,165
491710318,165
491730159,163
491750505,164
491770158,164
491790158,164
491811470,164
491831806,164
491851806,165
491871817,165
491891875,165
491911808,164
491931820,164
491951808,165
491971809,164
491991889,163
492011808,164
492037098,164
492051470,164
492071805,165
492091875,164
492111816,164
492131804,164
492175264,163
492175348,163
492191874,165
492210887,164
492230899,164
492250887,163
492270888,164
492290969,164
492310552,164
492330883,165
492350894,164
492370883,164
492390952,165
492411810,164
492431800,164
492451800,164
492471809,165
492491870,164
492511804,164
492531468,165
492551468,164
492571803,165
492591884,165
492611468,164
492631349,164
492651693,164
492671684,164
492691755,164
492711699,164
492731689,163
492751689,164
492771699,164
492795222,164
492810951,164
492830962,164
492850951,165
492870950,165
492891032,164
492910951,163
