onboard_time,data
266303,6002
486631542,980
486651552,981
486671541,982
486691632,981
486786997,981
486787082,981
486787167,981
486787251,981
486791729,981
486808121,981
486828133,982
486848122,981
486867786,982
486888203,982
486908121,980
486928596,980
486948133,982
486968122,981
486987786,979
487011769,981
487031758,981
487051758,982
487071768,980
487091827,981
487111757,980
487131767,980
487151758,981
487171758,982
487191839,980
487211757,980
487231758,980
487251769,981
487271422,980
487291827,981
487311614,980
487331604,980
487351604,981
487371269,981
487391674,981
487408240,980
487428251,980
487447904,980
487471556,981
487488321,981
487508240,980
487528394,980
487548058,979
487568393,980
487588463,980
487611763,981
487631752,980
487651752,981
487671768,980
487695777,981
487711753,981
487731767,981
487751417,982
487771753,980
487791837,980
487825520,981
487825608,981
487843520,980
487863504,981
487883574,980
487911455,981
487931440,981
487951105,981
487971455,981
487991511,981
488008725,982
488028749,981
488048725,982
488068726,980
488088810,981
488108390,981
488128725,980
488148734,982
488168726,981
488188796,982
488211764,981
488235293,979
488251749,980
488271766,981
488291819,982
488311750,981
488331765,981
488351751,981
488371751,980
488391836,981
488411751,981
488431748,981
488452170,980
488471749,981
488491819,981
488511755,979
488531745,982
488551410,982
488571757,980
488591815,980
488609127,981
488629138,980
488649127,980
488668791,980
488689208,981
488709126,980
488729129,981
488748793,982
488769129,980
488789198,980
488811758,981
488831746,981
488851746,982
488871756,981
488920279,979
488920709,979
488931707,981
488951697,980
488971698,981
488995814,981
489011697,980
489031410,981
489051755,982
489071746,982
489091816,981
489111410,981
489131745,982
489151410,982
489171757,982
489191410,982
489208291,981
489228638,982
489248627,980
489268627,981
489288711,981
489308626,981
489329429,981
489349446,981
489369429,980
489389499,980
489411859,980
489431844,981
489451845,981
489471509,981
489491914,982
489511844,981
489531855,982
489551844,981
489571845,982
489591926,980
489611845,980
489631406,981
489651753,981
489671406,981
489691811,982
489711751,981
489731739,980
489754159,981
489771749,981
489791809,980
489809730,981
489829740,982
489849730,982
489869731,981
489889817,982
489909730,981
489929395,981
489949746,982
490003836,980
490003920,980
490011748,979
490031738,981
490051739,981
490071748,980
490091809,981
490111403,981
490131750,980
490151739,981
490171739,981
490191819,980
490211741,980
490231737,981
490251752,980
490271736,981
490291806,979
490311755,980
490331403,982
490351403,980
490371756,981
490391809,981
490410014,982
490430024,981
490450015,981
490470017,982
490489679,981
490512303,981
490530015,981
490550027,981
490570015,982
490590084,981
490611849,980
490631502,980
490651838,982
490671847,980
490691908,981
490711502,980
490732074,980
490751838,981
490771838,982
490791919,982
490811837,981
490831499,981
490851499,980
490871499,981
490891904,980
490911844,981
490931835,981
490951833,980
490971844,981
490991902,981
491010379,980
491030389,980
491050041,980
491089850,980
491090507,980
491110041,980
491130375,980
491150385,982
491170375,982
491190445,981
491211741,979
491231732,982
491251732,980
491274077,981
491291801,980
491311396,979
491331743,981
491351731,982
491371731,981
491391811,981
491411732,980
491431732,982
491451744,982
491471733,982
491492213,980
491511397,981
491531397,982
491551733,980
491571744,981
491591397,980
491610006,981
491630353,981
491650341,981
491670342,981
491690421,981
491710342,980
491730182,980
491750529,981
491770182,980
491790182,981
491811494,980
491831831,980
491851830,980
491871841,979
491891898,981
491911832,980
491931844,981
491951832,980
491971833,981
491991912,981
492011832,980
492037121,981
492051494,982
492071829,982
492091899,980
492111840,982
492131828,982
492175287,979
492175372,979
492191898,982
492210911,979
492230923,980
492250911,980
492270912,981
492290993,981
492310576,979
492330907,981
492350918,982
492370907,981
492390976,980
492411835,981
492431824,980
492451824,980
492471833,981
492491893,979
492511828,980
492531492,980
492551492,979
492571828,982
492591908,980
492611492,981
492631373,981
492651718,981
492671708,981
492691778,980
492711723,980
492731713,980
492751714,980
492771724,982
492795246,982
492810975,980
492830986,980
492850975,981
492870975,982
492891056,982
492910975,980
492930633,982
492950980,982
492970969,981
492991038,981
493011521,981
493031510,981
493051510,982
493071521,980
493091174,981
493111825,980
493131836,981
493151825,981
493171825,981
493191906,980
493211489,981
493261335,979
493261426,979
493271814,979
493291883,981
493311832,981
493331485,980
493351821,981
493371832,980
493391890,980
493411535,980
493431546,980
493451534,982
493471534,980
493491614,981
493511535,981
493531527,981
493553937,980
493571527,981
493591597,980
493611832,981
493631819,980
493651820,980
493671831,980
493691889,981
493711819,981
493731831,981
493751484,981
493771820,980
493791901,981
493811820,982
493831805,980
493851817,980
493871806,980
493891470,982
493911828,980
493931818,980
493951819,980
493971830,980
493991888,981
494011648,981
494031659,982
494051648,982
494071647,982
494097162,981
494111312,981
494131303,982
494151648,981
494171639,980
494191708,982
494211925,982
494231914,982
494251914,980
494271925,980
494291983,980
494321962,981
494322381,981
494326020,981
494346020,982
494366437,981
494386355,980
494431467,980
494451814,982
494471803,981
494491872,980
494511827,980
494531815,980
494551816,981
494571827,980
494591885,982
494611479,981
494631824,981
494651479,981
494671815,981
494691894,979
494711479,980
494731466,981
494751813,980
494771802,981
494791871,982
494811824,981
494831477,981
494858915,980
494871824,982
494891882,980
494911813,980
494931824,982
494951813,982
494971477,981
494991899,982
495011813,980
495031797,981
495051812,980
495073387,982
495091867,981
495111827,982
495131811,980
495151811,982
495171828,981
495191881,981
495211910,981
495231925,980
495251911,981
495271911,982
495292263,981
495311575,981
495331897,981
495351912,981
495371897,980
495391967,980
495423021,982
495423105,982
495441797,980
495461808,981
495481866,981
495511475,981
495531820,982
495551811,981
495571811,981
495591895,982
495613390,981
495628634,981
495648986,979
495668970,981
495688634,981
495711825,982
495731809,981
495751810,981
495771826,981
495791474,981
