onboard_time,data
266309,-726
486631545,-9
486651556,-9
486671544,9
486691637,7
486787001,7
486787086,7
486787170,7
486787257,7
486791733,7
486808125,-8
486828137,6
486848125,5
486867789,-9
486888206,-6
486908125,8
486928600,10
486948136,-5
486968126,9
486987789,10
487011772,-8
487031762,-8
487051762,-6
487071771,-5
487091831,8
487111761,10
487131770,7
487151761,-6
487171761,-7
487191842,7
487211761,-5
487231762,11
487251773,7
487271425,-7
487291830,-6
487311617,-6
487331608,-5
487351608,9
487371272,-6
487391678,-7
487408244,-6
487428254,7
487447907,7
487471559,-8
487488324,7
487508244,7
487528397,6
487548061,5
487568397,9
487588467,-6
487611766,-7
487631755,7
487651756,-8
487671772,5
487695781,7
487711756,-6
487731770,8
487751420,7
487771756,-5
487791841,8
487825523,7
487825612,7
487843523,-7
487863508,5
487883577,7
487911459,6
487931444,-7
487951108,-6
487971459,-6
487991514,10
488008729,7
488028752,-10
488048729,-5
488068730,-6
488088814,10
488108393,-5
488128729,10
488148738,9
488168729,-7
488188799,-10
488211767,5
488235296,-6
488251753,7
488271770,5
488291823,-7
488311754,-7
488331768,7
488351755,11
488371754,-7
488391839,-7
488411754,6
488431752,-4
488452174,-6
488471752,-8
488491822,-10
488511758,7
488531749,-7
488551413,9
488571761,-9
488591819,9
488609130,-8
488629142,-10
488649131,-7
488668794,7
488689211,-7
488709130,9
488729132,-6
488748796,7
488769132,-7
488789202,-9
488811761,-6
488831750,9
488851750,7
488871760,5
488920282,10
488920712,10
488931710,6
488951701,6
488971702,6
488995817,-9
489011701,-8
489031413,-7
489051758,5
489071750,-7
489091819,7
489111413,-8
489131749,8
489151413,6
489171761,-5
489191413,7
489208294,6
489228641,-7
489248630,-8
489268630,7
489288714,-9
489308630,-10
489329433,7
489349449,12
489369433,6
489389502,8
489411862,-5
489431848,-10
489451848,-8
489471512,6
489491918,9
489511848,-4
489531858,-8
489551848,8
489571849,-6
489591929,7
489611848,6
489631409,5
489651757,-7
489671409,-9
489691814,-6
489711754,7
489731743,7
489754163,-6
489771753,7
489791813,-5
489809734,6
489829743,9
489849734,-8
489869734,8
489889820,6
489909734,5
489929398,7
489949749,-10
490003839,-10
490003924,-10
490011751,-10
490031742,-7
490051743,-6
490071751,11
490091812,-7
490111406,-6
490131754,9
490151743,9
490171742,-6
490191822,-7
490211744,-8
490231740,7
490251755,-9
490271740,-6
490291810,-11
490311758,-8
490331406,8
490351406,-6
490371760,-6
490391812,-8
490410018,9
490430027,-10
490450018,-10
490470020,-9
490489682,9
490512307,-7
490530019,-7
490550030,9
490570018,-9
490590087,7
490611853,14
490631505,-9
490651841,-8
490671850,-4
490691911,-10
490711505,-5
490732077,-8
490751841,-7
490771842,8
490791922,-5
490811841,-4
490831502,-9
490851502,-7
490871502,-7
490891908,-9
490911848,7
490931838,-9
490951837,-10
490971848,-9
490991906,-7
491010382,-6
491030392,-8
491050044,-6
491089853,9
491090510,9
491110044,7
491130378,8
491150388,8
491170378,-8
491190448,-8
491211744,-11
491231735,7
491251735,-6
491274081,7
491291805,-8
491311399,-8
491331746,-5
491351735,-6
491371735,-12
491391814,8
491411735,-5
491431736,9
491451748,-8
491471736,-7
491492217,6
491511400,-6
491531400,-7
491551737,-7
491571747,7
491591400,8
491610009,9
491630356,7
491650345,-9
491670346,9
491690424,6
491710345,-8
491730185,4
491750533,-5
491770185,-10
491790185,9
491811497,-11
491831834,9
491851834,9
491871845,-9
491891902,8
491911836,8
491931848,11
