onboard_time,data
266283,1643
486631531,-7
486651542,6
486671530,7
486691622,8
486786987,-6
486787072,-6
486787157,-6
486787241,-6
486791719,6
486808110,8
486828123,-9
486848111,7
486867776,9
486888193,8
486908110,-5
486928586,-9
486948122,-12
486968111,-10
486987775,11
487011758,-6
487031747,6
487051747,8
487071757,7
487091817,-6
487111746,6
487131757,6
487151746,6
487171747,7
487191829,6
487211746,-9
487231747,11
487251759,-8
487271411,8
487291816,-8
487311603,7
487331593,-9
487351593,8
487371258,-6
487391664,7
487408229,-8
487428240,11
487447894,7
487471546,-7
487488311,-7
487508229,10
487528382,-5
487548047,7
487568382,-8
487588453,11
487611752,-7
487631741,8
487651741,7
487671758,7
487695767,14
487711742,10
487731756,-9
487751406,-7
487771742,6
487791827,8
487825509,12
487825593,12
487843509,7
487863493,6
487883564,11
487911445,-11
487931429,7
487951094,-11
487971445,7
487991500,-7
488008714,7
488028739,3
488048714,10
488068715,-9
488088800,7
488108379,7
488128714,-8
488148724,8
488168715,10
488188785,-5
488211754,-7
488235282,7
488251738,7
488271756,10
488291809,-9
488311739,9
488331755,7
488351740,-7
488371739,-6
488391825,-9
488411740,6
488431737,8
488452160,7
488471738,-6
488491808,10
488511745,-8
488531734,-8
488551400,-5
488571747,6
488591805,6
488609115,9
488629128,-10
488649116,-8
488668781,-8
488689197,-6
488709115,7
488729117,7
488748782,6
488769117,-11
488789188,-7
488811747,-5
488831735,10
488851735,6
488871746,9
488920268,-7
488920698,-7
488931696,5
488951686,-6
488971687,7
488995803,-10
489011686,8
489031400,-10
489051745,12
489071735,8
489091805,7
489111399,10
489131734,6
489151399,-7
489171747,-11
489191399,9
489208280,7
489228627,10
489248615,8
489268616,6
489288701,9
489308615,8
489329418,-8
489349435,10
489369418,7
489389489,7
489411848,-9
489431833,8
489451834,-6
489471498,4
489491904,8
489511833,-10
489531844,10
489551833,12
489571834,-9
489591915,6
489611834,-10
489631395,7
489651743,8
489671395,8
489691800,-9
489711740,5
489731728,-7
489754149,-5
489771739,6
489791799,8
489809719,-7
489829730,8
489849719,-8
489869720,-6
489889807,-8
489909719,-5
489929385,-9
489949735,7
490003826,5
490003910,5
490011737,-6
490031727,-6
490051728,7
490071738,-8
490091798,12
490111393,7
490131740,-5
490151728,10
490171727,8
490191808,7
490211730,-5
490231726,-11
490251741,-8
490271725,7
490291796,8
490311744,6
490331393,9
490351392,-7
490371746,6
490391798,8
490410003,9
490430014,10
490450004,-8
490470006,-8
490489668,6
490512293,11
490530004,-5
490550016,11
490570004,-12
490590074,-9
490611839,-12
490631492,-5
490651826,7
490671836,6
490691897,10
490711492,7
490732063,9
490751826,8
490771827,-8
490791909,6
490811826,-10
490831489,-7
