onboard_time,data
486621138,92578
486651155,-782389
486681153,100119
486761901,77208
486761912,77208
486771387,100125
486801273,-294399
486827735,-139607
486857734,100117
486887793,-162134
486917734,100124
486947735,242494
486977733,100123
487011356,-8892
487041369,100128
487071370,100125
487101369,100129
487131369,100125
487161369,100126
487191429,-700624
487221369,100123
487251371,-464702
487281369,-464702
487311216,100124
487341216,100124
487371302,-73627
487401217,100125
487427853,-817045
487457836,100124
487487911,-196861
487518005,100123
487548091,-396320
487578128,100125
487611350,-600198
487641363,100122
487671364,100126
487701365,246965
487731349,100128
487761366,5365
487791422,100124
487813153,-140959
487843116,100125
487873118,143681
487911052,100125
487941054,-633524
487971052,100123
488001054,-464507
488028322,100124
488058339,-486631
488088396,100119
488121203,-750386
488148322,-750386
488178337,100121
488211361,100130
488241363,-26841
488271362,100126
488301363,-225846
488331347,100122
488361364,-803176
488391421,100124
488421363,-142295
488451432,100127
488481362,-629908
488511357,100120
488541357,100126
488571359,243282
488601358,100122
488628740,-448778
488658723,100121
488688797,-129884
488718741,100125
488748826,-363689
488778740,100128
488811345,-194332
488841359,100120
488871358,100127
488907081,100119
488931309,100119
488961309,100128
488993695,100125
489021357,100125
489051357,100124
489081357,100125
489111443,43903
489141358,100125
489171359,242599
489201357,100124
489228240,75198
489258238,100120
489288296,100128
489319043,-648354
489349041,100124
489379043,-360410
489411441,100120
489441458,-803099
489471540,100125
489501443,-157728
489531457,100128
489561456,100128
489591515,80348
489621353,100123
489651356,-633707
489681353,100125
489711338,-364558
489741351,100128
489771352,100121
489801336,100124
489829342,100126
489859665,100123
489889401,-197449
489919344,164866
489949343,100122
489990565,-262222
490011350,-262222
490041335,100118
490071335,100123
490101351,100125
490131352,-481130
490161350,100122
490191337,-58976
490221348,100121
490251349,100125
490281350,-701479
490311350,100120
490341352,-309733
490371352,100119
490403550,-697889
490429626,-697889
490459626,100121
490489772,100128
490519627,100122
490549629,-160113
490579626,100123
490611436,243435
490641449,100128
490671449,100125
490701449,100123
490731657,100118
490761434,100122
490791510,-177982
490821446,100126
490851532,-227421
490881446,100123
490911446,43777
490941445,100122
490971446,-292811
491001444,100124
491029991,-750528
491076944,100119
491090095,-730505
491119973,-582428
491149987,100122
491179987,100121
491211343,100120
491241344,100122
491272669,100123
491301345,-362386
491331330,-140367
491361344,100124
491391401,100123
491421344,100121
491451346,-562903
491481344,100118
491511430,-699069
491541345,100127
491571346,-666270
491601345,100122
491629940,7267
491659953,100127
491690011,100126
491720130,100125
491750131,77405
491780129,100123
491811528,226439
491841440,226439
491871443,190763
491901441,100119
491931446,-211406
491961445,100126
491991503,100122
492021442,100127
492051527,-25770
492081442,100121
492111442,-296167
492162656,100120
492171499,-226843
492201443,216075
492230525,-73587
492260523,100124
492290583,176212
492320519,100122
492350521,-598035
492380519,100120
492411437,100122
492441420,100121
492471435,100128
492501420,100118
492531525,57842
492561440,100126
492591426,7998
492621321,100118
492651305,100117
492682637,100124
492711325,100124
492741326,100124
492771326,100124
492801326,100118
492830588,-615191
492860571,100124
492890646,-634051
492920565,100118
492950582,211536
492980580,100122
493011124,-229275
493041123,100119
493071123,-698915
493101122,100125
493131439,-44192
493161436,100121
493191496,-700193
493221426,100122
493251609,-631193
493281410,100120
493311434,-225621
493341433,100124
493371434,-294648
493401432,100124
493431133,91342
493461146,100124
493491204,100122
493521124,100118
493552197,-499993
493581125,100121
493611433,5159
493641416,100120
493671433,-144850
493701416,100120
493731433,-111323
493761416,100124
493791491,-130111
493821418,100124
493851404,-600484
493881403,100123
493911431,100124
493941431,100123
493971432,-667479
494001431,100126
494031246,-209620
494061260,100124
494091317,100118
494121235,100118
494151250,100121
494181251,100120
494211527,-633615
494241525,100124
494271527,-499215
494301525,100121
494309394,-280730
494335967,100119
494366027,-701624
494421414,100127
494451416,-192114
494481415,100117
494511429,-57877
494541427,100122
494571414,-799249
494601427,100124
494631426,100121
494661426,100117
494691484,100116
494721413,100122
494751415,-360963
494781398,100121
494811426,209164
494841425,100123
494871426,-802320
494901424,100117
494931426,-785184
494961843,100120
494991484,-11159
495021411,-139348
495051394,100115
495081411,-534048
495111424,100121
495141425,-162010
495171424,100118
495201425,-25270
495231522,100118
495261525,-364246
495291834,100116
495321511,-283010
495351509,100118
495381511,-93361
495409332,100122
495431411,-668054
495461410,-159165
495491409,100117
495531407,100117
495561422,100122
495591481,100118
495618584,-547982
495648582,100120
495678583,-360357
495711421,100123
495741423,-25799
495771421,100118
495801408,77031
495832224,100120
495861419,100120
495891404,100119
495921405,100119
495951405,100121
495981407,-630425
496011415,100121
496041402,-297172
496071416,100122
496101416,100124
496131417,100120
496161417,100122
496191474,100122
496221501,-479730
496251499,100119
496281500,242435
496311517,100127
496341518,-701497
496371516,100124
496401515,100124
496431602,-476343
496461517,100119
496504612,-631523
496521405,-631523
496551406,100123
496581406,100125
496611598,100125
496641515,100120
496671516,-563442
496701514,100119
496731516,-681543
496761515,100118
496791573,100120
496821497,92277
496851496,100116
496881497,41101
496911499,100123
496941516,-96457
496971600,-657731
497001515,100119
497031394,-733526
497061408,100122
497091392,100126
497121397,100125
497151397,100117
497181412,100126
497211410,100120
497241484,-768834
497271410,100117
497301397,-634006
497331396,100124
497361410,100124
497391468,100123
497421496,-345365
497451509,100119
497481510,100119
497511509,100123
497541510,100120
497590794,100121
497601577,11774
497631497,-712018
497661510,-712018
497691568,100125
497721497,193953
497751510,100122
497781511,100121
497811507,100121
497841507,418850
497871507,100128
497901509,7045
497931508,100123
497961510,-566859
497991566,100125
498021483,-277075
498051496,100124
498081482,100116
498109630,5371
498139358,100125
498169373,100117
498199374,100123
498231508,225925
498261507,100123
498291565,100122
498321485,-682723
498351483,100117
498381471,-397601
498411506,100119
498441506,100119
498471490,100124
498501505,100125
498531506,100119
498561509,100118
498591564,100125
498621480,-8456
498676831,100117
498681738,-162966
498711501,-1647
498741504,-527326
498771499,100119
498801501,-161932
498831489,100119
498861507,-702446
498891562,100121
498921482,-345388
498951477,100119
498981479,-733432
499011502,100122
499041503,7338
499071486,100124
499101503,-196106
499131501,100122
499161503,-162100
499191559,100117
499221464,-648747
499251476,79924
499281475,100117
499311299,-170031
499341298,100120
499371299,-631477
499401297,100120
499431500,-78585
499461498,100114
499491558,-90064
499521693,100117
499551473,-633896
499581472,100120
499611499,-728232
499641497,100122
499671583,-54206
499701497,100118
499731481,-142585
499761533,100123
499791551,100123
499821566,100121
499851553,-161283
499881566,100121
499911598,100125
499941598,100121
499971600,145303
500001597,100120
500031597,-548493
500063936,100122
500091654,-159623
500121568,-542787
500151567,100119
500181568,-734863
500211494,100126
500241496,-227703
500271494,100124
500301496,144411
500331490,100120
500361492,-531216
500391821,100119
500421460,-49398
500451459,-86502
500481458,100118
500511290,-118881
500541288,100120
500571290,-559526
500601288,100120
500631500,-379834
500661493,100122
500691552,-592099
500717178,100124
500747180,-762421
500777163,100123
500811494,-177243
500847149,100124
500871494,-760753
500901494,-393683
500933727,100124
500961493,-557975
500991639,-217637
501021558,100123
501051560,-222066
501081543,100118
501111676,-734309
501141590,100123
501171592,-396082
501201590,100122
501231587,-346689
501261585,100123
501291644,100118
501321546,-548225
501351545,100123
501381546,-664805
501411485,100125
501441487,-698634
501471484,100126
501501487,-566031
501531482,-248214
501561480,100118
501591540,-296356
501621542,100116
