onboard_time,data
266542,0
486631671,0
486651690,30
486671677,30
486691776,30
486787725,30
486787871,30
486788016,30
486788162,30
486791867,30
486808259,30
486828271,30
486848259,30
486868258,30
486888348,30
486908259,30
486928736,30
486948271,30
486968260,30
486988328,30
487011907,30
487031896,30
487051896,30
487071906,30
487091966,30
487111895,30
487131905,30
487151895,30
487171895,30
487191984,30
487211895,30
487231896,30
487251908,30
487271894,30
487291965,30
487311752,30
487331741,30
487351743,30
487371753,30
487391814,30
487408379,30
487428390,30
487448376,30
487471693,30
487488466,30
487508378,30
487528531,30
487548542,30
487568532,30
487588603,30
487611902,30
487631890,30
487651890,30
487671906,30
487695915,30
487711891,30
487731905,30
487751890,30
487771891,30
487791983,30
487825748,30
487825897,30
487843658,30
487863642,30
487883713,30
487911593,30
487931578,30
487951578,30
487971593,30
487991649,30
488008864,30
488028892,30
488048863,30
488068864,30
488088955,30
488108863,30
488128863,30
488148872,30
488168863,30
488188933,30
488211901,30
488235431,30
488251887,30
488271904,30
488291958,30
488311888,30
488331903,30
488351889,30
488371888,30
488391981,30
488411888,30
488431886,30
488452314,30
488471887,30
488491957,30
488511894,30
488531883,30
488551883,30
488571896,30
488591954,30
488609264,30
488629277,30
488649265,30
488669264,30
488689354,30
488709264,30
488729267,30
488749277,30
488769271,30
488789337,30
488811896,30
488831884,30
488851884,30
488871894,30
488920846,30
488920991,30
488931845,30
488951835,30
488971836,30
488995957,30
489011835,30
489031883,30
489051894,30
489071884,30
489091954,30
489111894,30
489131883,30
489151883,30
489171896,30
489191952,30
489208764,30
489228776,30
489248764,30
489268765,30
489288856,30
489308764,30
489329567,30
489349583,30
489369567,30
489389637,30
489411996,30
489431982,30
489451983,30
489471998,30
489492053,30
489511982,30
489531994,30
489551982,30
489571983,30
489592072,30
489611983,30
489631879,30
489651892,30
489671879,30
489691949,30
489711889,30
489731877,30
489754299,30
489771888,30
489791948,30
489809868,30
489829879,30
489849868,30
489869869,30
489889962,30
489909868,30
489929868,30
489949884,30
490004058,30
490004204,30
490011886,30
490031876,30
490051877,30
490071887,30
490091947,30
490111876,30
490131889,30
490151877,30
