onboard_time,data
266494,0
486631647,0
486651666,1
486671653,1
486691752,1
486787701,1
486787847,1
486787992,1
486788137,1
486791843,1
486808235,1
486828247,1
486848235,1
486868235,1
486888325,1
486908235,1
486928709,1
486948247,1
486968236,1
486988303,1
487011883,1
487031872,1
487051872,1
487071882,1
487091941,1
487111871,1
487131881,1
487151871,1
487171871,1
487191961,1
487211871,1
487231872,1
487251884,1
487271870,1
487291940,1
487311728,1
487331718,1
487351719,1
487371730,1
487391789,1
487408355,1
487428366,1
487448352,1
487471669,1
487488443,1
487508354,1
487528507,1
487548518,1
487568508,1
487588578,1
487611878,1
487631866,1
487651866,1
487671882,1
487695891,1
487711867,1
487731881,1
487751866,1
487771867,1
487791959,1
487825724,1
487825873,1
487843634,1
487863618,1
487883688,1
487911569,1
487931555,1
487951554,1
487971569,1
487991625,1
488008840,1
488028865,1
488048839,1
488068840,1
488088932,1
488108839,1
488128839,1
488148849,1
488168839,1
488188909,1
488211877,1
488235408,1
488251863,1
488271880,1
488291933,1
488311864,1
488331879,1
488351865,1
488371864,1
488391957,1
488411865,1
488431862,1
488452290,1
488471863,1
488491933,1
488511870,1
488531859,1
488551859,1
488571872,1
488591929,1
488609241,1
488629253,1
488649241,1
488669240,1
488689330,1
488709240,1
488729243,1
488749253,1
488769247,1
488789312,1
488811873,1
488831860,1
488851860,1
488871870,1
488920822,1
488920967,1
488931821,1
488951811,1
488971812,1
488995933,1
489011811,1
489031859,1
489051870,1
489071860,1
489091930,1
489111870,1
489131859,1
489151859,1
489171872,1
489191927,1
489208740,1
489228753,1
489248741,1
489268741,1
489288832,1
489308740,1
489329543,1
489349559,1
489369543,1
489389612,1
489411972,1
489431958,1
489451959,1
489471974,1
489492028,1
489511958,1
489531970,1
489551959,1
489571959,1
489592048,1
489611959,1
489631855,1
489651868,1
489671855,1
489691925,1
489711866,1
489731853,1
489754275,1
489771864,1
489791923,1
489809845,1
489829855,1
489849844,1
489869845,1
489889938,1
489909844,1
489929844,1
489949860,1
490004034,1
490004180,1
490011862,1
490031852,1
490051853,1
490071863,1
490091923,1
490111852,1
490131865,1
490151853,1
490171853,1
490191946,1
490211855,1
490231851,1
490251866,1
490271850,1
490291921,1
490311869,1
490331852,1
490351852,1
490371870,1
490391923,1
490410128,1
490430139,1
490450129,1
490470131,1
490490206,1
490512420,1
490530129,1
490550141,1
490570128,1
490590197,1
490611964,1
490631952,1
490651952,1
490671962,1
490692022,1
490711951,1
490732187,1
490751951,1
490771951,1
490792041,1
490811951,1
490831948,1
490851961,1
490871949,1
490892018,1
490911958,1
490931948,1
490951947,1
490971959,1
490992016,1
491010493,1
491030504,1
491050491,1
491089963,1
491090627,1
491110491,1
491130488,1
491150499,1
491170489,1
491190558,1
491211855,1
491231845,1
491251846,1
491274191,1
491291915,1
491311845,1
491331858,1
491351846,1
491371846,1
491391927,1
491411846,1
491431846,1
491451859,1
491471847,1
491492336,1
491511857,1
491531846,1
491551847,1
491571859,1
491591915,1
491610456,1
491630468,1
491650456,1
491670457,1
491690537,1
491710456,1
491730631,1
491750645,1
491770631,1
491790700,1
491816258,1
491831945,1
491851945,1
491871957,1
491892013,1
491911947,1
491931960,1
491951947,1
491971947,1
491992028,1
492011946,1
492037236,1
492051954,1
492071943,1
492092013,1
492111956,1
492131943,1
492175488,1
492175970,1
492192012,1
492211026,1
492231039,1
492251026,1
492271026,1
492291115,1
492311026,1
492331021,1
492351034,1
492371021,1
492391090,1
492411950,1
492431939,1
492451938,1
492471949,1
492492007,1
492511942,1
492531952,1
492551941,1
492576260,1
492592035,1
492611941,1
492631822,1
492651833,1
492671822,1
492691892,1
492711839,1
492731828,1
492751829,1
492771840,1
492795368,1
492811089,1
492831101,1
492851089,1
492871089,1
492891178,1
492911090,1
492931083,1
492951096,1
492971083,1
492991153,1
493011637,1
493031625,1
493051624,1
493071637,1
493091692,1
