onboard_time,data
266341,0
486631570,0
486651588,172822
486671576,172822
486691675,172822
486787625,172823
486787771,172823
486787916,172823
486788061,172823
486791767,172823
486808157,172823
486828169,172823
486848158,172824
486868157,172824
486888247,172824
486908158,172824
486928633,172824
486948169,172825
486968158,172825
486988227,172825
487011805,172825
487031794,172825
487051794,172826
487071804,172826
487091865,172826
487111794,172826
487131803,172826
487151794,172827
487171794,172827
487191883,172827
487211794,172827
487231794,172827
487251805,172828
487271793,172828
487291864,172828
487311650,172828
487331640,172828
487351642,172829
487371652,172829
487391713,172829
487408277,172829
487428288,172829
487448275,172830
487471593,172830
487488365,172830
487508276,172830
487528430,172830
487548441,172831
487568431,172831
487588502,172831
487611800,172831
487631789,172831
487651789,172832
487671805,172832
487695814,172832
487711790,172832
487731803,172832
487751789,172833
487771789,172833
487791882,172833
487825648,172833
487825796,172833
487843556,172834
487863541,172834
487883612,172834
487911492,172834
487931477,172834
487951476,172835
487971492,172835
487991549,172835
488008762,172835
488028788,172835
488048762,172836
488068763,172836
488088855,172836
488108761,172836
488128762,172836
488148770,172837
488168762,172837
488188833,172837
488211800,172837
488235329,172837
488251786,172838
488271803,172838
488291858,172838
488311787,172838
488331801,172838
488351787,172839
488371787,172839
488391880,172839
488411787,172839
488431785,172839
488452211,172840
488471785,172840
488491857,172840
488511792,172840
488531782,172840
488551782,172841
488571794,172841
488591854,172841
488609163,172841
488629175,172841
488649164,172842
488669163,172842
488689252,172842
488709163,172842
488729165,172842
488749176,172843
488769165,172843
488789237,172843
488811794,172843
488831783,172843
488851782,172844
488871792,172844
488920745,172844
488920890,172844
488931743,172844
488951734,172845
488971735,172845
488995857,172845
489011734,172845
489031782,172845
489051791,172846
489071783,172846
489091854,172846
489111793,172846
489131782,172846
489151782,172847
489171794,172847
489191852,172847
489208663,172847
489228674,172847
489248663,172848
489268664,172848
489288756,172848
489308663,172848
489329466,172848
489349482,172849
489369465,172849
489389536,172849
489411895,172849
489431880,172849
489451881,172850
489471896,172850
489491953,172850
489511881,172850
489531891,172850
489551881,172851
489571882,172851
489591970,172851
489611882,172851
489631778,172851
489651790,172852
489671778,172852
489691849,172852
489711787,172852
489731776,172852
489754198,172853
489771786,172853
489791848,172853
489809767,172853
489829777,172853
489849767,172854
489869767,172854
489889862,172854
489909767,172854
489929767,172854
489949782,172855
490003958,172855
490004103,172855
490011784,172855
490031775,172855
490051776,172856
490071785,172856
490091847,172856
490111775,172856
490131787,172856
490151776,172857
490171775,172857
490191869,172857
490211778,172857
490231774,172857
490251788,172858
490271773,172858
490291845,172858
490311791,172858
490331775,172858
490351774,172859
490371793,172859
490391847,172859
490410051,172859
490430061,172859
490450051,172860
490470054,172860
490490131,172860
490512343,172860
490530052,172860
490550063,172861
490570051,172861
490590122,172861
490611886,172861
490631874,172861
490651874,172862
490671883,172862
490691946,172862
490711874,193263
490732110,193263
490751874,193263
490771874,193263
490791963,193263
490811874,193264
490831870,193264
490851883,193264
490871871,193264
490891942,193264
490911880,193265
490931871,193265
490951869,193265
490971880,193265
490991940,193265
491010416,193266
491030426,193266
491050413,193266
491089888,193266
491090550,193266
491110413,193267
491130411,193267
491150421,193267
491170411,193267
491190483,193267
491211777,193268
491231768,193268
491251768,193268
491274114,193268
491291839,193268
491311768,193269
491331780,193269
491351768,193269
491371768,193269
