onboard_time,data
266488,0
486631644,0
486651663,0
486671650,0
486691748,0
486787698,0
486787843,0
486787989,0
486788134,0
486791839,0
486808231,0
486828244,0
486848232,0
486868231,0
486888321,0
486908232,0
486928706,0
486948244,0
486968232,0
486988300,0
487011880,0
487031868,0
487051868,0
487071879,0
487091938,0
487111868,0
487131878,0
487151868,0
487171868,0
487191957,0
487211868,0
487231868,0
487251881,0
487271867,0
487291937,0
487311725,0
487331714,0
487351716,0
487371726,0
487391785,0
487408351,0
487428363,0
487448349,0
487471666,0
487488439,0
487508350,0
487528504,0
487548515,0
487568505,0
487588575,0
487611875,0
487631863,0
487651863,0
487671879,0
487695888,0
487711864,0
487731877,0
487751863,0
487771863,0
487791956,0
487825721,0
487825869,0
487843630,0
487863615,0
487883685,0
487911566,0
487931551,0
487951550,0
487971566,0
487991621,0
488008837,0
488028862,0
488048836,0
488068837,0
488088928,0
488108835,0
488128836,0
488148845,0
488168836,0
488188905,0
488211874,0
488235404,0
488251860,0
488271877,0
488291930,0
488311861,0
488331875,0
488351861,0
488371861,0
488391953,0
488411861,0
488431859,0
488452287,0
488471859,0
488491929,0
488511866,0
488531856,0
488551856,0
488571869,0
488591926,0
488609237,0
488629250,0
488649238,0
488669237,0
488689326,0
488709237,0
488729239,0
488749250,0
488769244,0
488789309,0
488811869,0
488831857,0
488851856,0
488871867,0
488920819,0
488920963,0
488931817,0
488951808,0
488971809,0
488995930,0
489011808,0
489031856,0
489051866,0
489071857,0
489091926,0
489111867,0
489131856,0
489151855,0
489171869,0
489191924,0
489208736,0
489228749,0
489248737,0
489268738,0
489288829,0
489308737,0
489329540,0
489349556,0
489369539,0
489389609,0
489411969,0
489431954,0
489451955,0
489471970,0
489492025,0
489511955,0
489531967,0
489551955,0
489571956,0
489592044,0
489611956,0
489631851,0
489651865,0
489671851,0
489691921,0
489711862,0
489731850,0
489754271,0
489771861,0
489791920,0
489809841,0
489829851,0
489849841,0
489869841,0
489889935,0
489909841,0
489929841,0
489949856,0
490004031,0
490004176,0
490011859,0
490031849,0
490051850,0
490071859,0
490091919,0
490111849,0
490131862,0
490151850,0
490171849,0
490191943,0
490211852,0
490231848,0
490251862,0
490271847,0
490291918,0
490311865,0
490331849,0
490351848,0
490371867,0
490391919,0
490410125,0
490430136,0
490450125,0
490470128,0
490490203,0
490512416,0
490530126,0
490550138,0
490570125,0
490590194,0
490611960,0
490631948,0
490651948,0
490671958,0
490692018,1
490711948,1
490732184,1
490751948,1
490771948,1
490792037,1
490811948,1
490831944,1
490851957,1
490871945,1
490892015,1
490911955,1
490931945,1
490951943,1
490971955,1
490992012,1
491010490,1
491030501,1
491050487,1
491089960,1
491090623,1
491110487,1
491130485,1
491150496,1
491170485,1
491190555,1
491211852,1
491231842,1
491251842,1
491274187,1
491291912,1
491311842,1
491331854,1
491351842,1
491371842,1
491391922,1
491411843,1
491431843,1
491451856,1
491471844,1
491492332,1
491511854,1
491531843,1
491551844,1
491571855,1
491591911,1
491610452,1
491630465,1
491650453,1
491670453,1
491690533,1
491710453,1
491730628,1
491750641,1
491770628,1
491790697,1
491816254,1
491831942,1
491851941,1
491871953,1
491892009,1
491911944,1
491931956,1
491951944,1
491971944,1
491992024,1
492011943,1
492037233,1
492051951,1
492071940,1
492092009,1
492111952,1
492131940,1
492175484,1
492175966,1
492192009,1
492211022,1
492231035,1
492251023,1
492271023,1
492291112,1
492311023,1
492331018,1
492351030,1
492371018,1
492391087,1
492411947,1
492431935,1
492451935,1
492471945,1
492492004,1
492511939,1
492531949,1
492551938,1
492576257,1
492592032,1
492611938,1
492631818,1
492651829,1
492671819,1
492691889,1
492711836,1
492731825,1
492751825,1
492771836,1
492795365,1
492811086,1
492831098,1
492851086,1
492871085,1
492891175,1
492911086,1
492931080,1
492951092,1
492971080,1
492991150,1
493011633,1
493031622,1
493051621,1
493071633,1
493091689,1
493111936,1
493131948,1
493151936,1
493171936,1
493192025,1
493211935,1
493261870,1
493262017,1
493271924,1
493291993,1
493311944,1
493336239,1
493351932,1
493371944,1
493392001,1
493411646,1
