onboard_time,data
266481,0
486631640,3
486651659,3
486671647,4
486691745,4
486787695,5
486787840,5
486787986,5
486788130,5
486791836,5
486808228,5
486828241,5
486848229,5
486868228,6
486888318,6
486908228,6
486928702,6
486948240,6
486968229,7
486988296,7
487011876,7
487031865,7
487051865,7
487071875,8
487091934,8
487111864,8
487131874,8
487151864,8
487171865,9
487191954,9
487211864,9
487231865,9
487251877,9
487271863,10
487291933,10
487311721,10
487331711,10
487351712,10
487371723,11
487391782,11
487408348,11
487428359,11
487448346,11
487471663,12
487488436,12
487508347,12
487528500,12
487548512,12
487568501,13
487588571,13
487611871,13
487631859,13
487651859,13
487671876,14
487695885,14
487711860,14
487731874,14
487751859,14
487771860,15
487791952,15
487825717,15
487825866,15
487843627,15
487863612,16
487883681,16
487911563,16
487931548,16
487951547,16
487971563,17
487991618,17
488008833,17
488028858,17
488048833,17
488068834,18
488088925,18
488108832,18
488128833,18
488148842,18
488168833,19
488188902,19
488211871,19
488235401,19
488251857,19
488271874,20
488291927,20
488311858,20
488331872,20
488351858,20
488371857,21
488391950,21
488411858,21
488431855,21
488452283,21
488471856,22
488491926,22
488511863,22
488531853,22
488551852,22
488571866,23
488591923,23
488609234,23
488629246,23
488649235,23
488669233,24
488689323,24
488709234,24
488729236,24
488749246,24
488769240,25
488789305,25
488811866,25
488831854,25
488851853,25
488871863,26
488920815,26
488920960,26
488931814,26
488951804,26
488971805,27
488995927,27
489011805,27
489031852,27
489051863,27
489071853,28
489091923,28
489111863,28
489131853,28
489151852,28
489171865,29
489191921,29
489208733,29
489228746,29
489248734,29
489268734,30
489288825,30
489308733,30
489329537,30
489349552,30
489369536,31
489389605,31
489411965,31
489431951,31
489451952,31
489471967,32
489492022,32
489511951,32
489531963,32
489551952,32
489571952,33
489592041,33
489611952,33
489631848,33
489651862,33
489671848,34
489691918,34
489711859,34
489731847,34
489754268,34
489771858,35
489791917,35
489809838,35
489829848,35
489849838,35
489869838,36
489889931,36
489909838,36
489929837,36
489949853,36
490004027,37
490004173,37
490011856,37
490031845,37
490051847,37
490071856,38
490091916,38
490111845,38
490131859,38
490151846,38
490171846,39
490191939,39
490211848,39
490231844,39
490251859,39
490271844,40
490291914,40
490311862,40
490331845,40
490351845,40
490371863,41
490391916,41
490410121,41
490430132,41
490450122,41
490470124,42
490490199,42
490512413,42
490530123,42
490550134,42
490570122,43
490590191,43
490611957,43
490631945,43
490651945,43
490671955,44
490692015,54044
490711945,54044
490732180,54045
490751944,54045
490771945,54045
490792034,54045
490811944,54045
490831941,54046
490851954,54046
490871942,54046
490892011,54046
490911952,54046
490931941,54047
490951940,54047
490971952,54047
490992009,54047
491010486,54047
491030497,54048
491050484,54048
491089956,54048
491090620,54048
491110484,54048
491130482,54049
491150493,54049
491170482,54049
491190552,54049
491211849,54049
491231839,54050
491251839,54050
491274184,54050
491291908,54050
491311838,54050
491331851,54051
491351839,54051
491371839,54051
491391919,54051
491411839,54051
491431840,54052
491451853,54052
491471840,54052
491492329,54052
491511850,54052
491531839,54053
491551841,54053
491571852,54053
491591908,54053
491610449,54053
491630461,54054
491650449,54054
491670450,54054
491690529,54054
491710450,54054
491730625,54055
491750638,54055
491770624,54055
491790693,54055
491816251,54056
491831938,54056
491851938,54056
491871950,54056
491892006,54056
491911940,54056
491931953,54057
491951940,54057
491971940,54057
491992021,54057
492011940,54057
492037229,54058
492051947,54058
492071936,54058
492092006,54058
492111949,54058
492131936,54059
492175481,54059
492175963,54059
492192005,54059
492211019,54059
492231032,54100
492251019,54100
492271020,54100
492291109,54100
492311020,54100
492331015,54101
492351027,54101
492371015,54101
492391083,54101
492411943,54101
492431932,54102
492451932,54102
492471942,54102
492492001,54102
492511935,54102
492531945,54103
492551934,54103
492576253,54103
492592028,54103
492611934,54103
492631815,54104
492651826,54104
492671816,54104
492691886,54104
492711832,54104
492731822,54105
492751822,54105
492771833,54105
492795361,54105
492811082,54105
492831094,54106
492851082,54106
492871082,54106
492891171,54106
492911083,54106
492931077,54107
492951089,54107
492971077,54107
492991146,54107
493011630,54107
493031618,54108
493051617,54108
493071630,54108
493091685,54108
493111932,54108
493131945,54109
493151933,54109
493171933,54109
493192022,54109
493211931,54109
493261867,54110
493262014,54110
493271921,54110
493291990,54110
493311941,54110
493336236,54111
493351929,54111
493371941,54111
493391998,54111
493411643,54111
493431654,54112
493451642,54112
493471642,54112
493491722,54112
493511643,54112
493531635,54113
493554046,54113
493571635,54113
493591705,54113
493611940,54113
493631927,54114
493651928,54114
493671940,54114
493691997,54114
493711927,54114
493731939,54115
493751927,54115
493771927,54115
493792017,54115
493811928,54115
493831914,54116
493851926,54116
493871914,54116
493891982,54116
493911937,54116
493931926,54117
493951926,54117
493971938,54117
493991995,54117
494011756,54117
