onboard_time,data
486621144,2009
486651158,-24191
486681156,1478
486761905,-24191
486761915,-24191
486771390,1478
486801276,-24191
486827738,-24191
486857737,1479
486887796,-24191
486917737,1480
486947738,-24191
486977736,1480
487011359,-24191
487041372,1482
487071373,1483
487101373,1483
487131372,1484
487161372,1485
487191432,-24191
487221372,1485
487251374,-24191
487281373,-24191
487311219,1487
487341220,1487
487371305,-24191
487401220,1488
487427856,-24191
487457840,1488
487487915,-24191
487518008,1489
487548094,-24191
487578131,1490
487611353,-24191
487641366,1491
487671367,1492
487701368,-24191
487731353,1492
487761369,-24191
487791425,1493
487813156,-24191
487843120,1494
487873121,-24191
487911055,1495
487941057,-24191
487971055,1496
488001058,-24191
488028326,1497
488058343,-24191
488088399,1498
488121206,-24191
488148325,-24191
488178341,1500
488211364,1501
488241366,-24191
488271365,1501
488301366,-24191
488331351,1501
488361367,-24191
488391424,1502
488421366,-24191
488451435,1502
488481365,-24191
488511360,1503
488541361,1504
488571363,-24191
488601361,1504
488628743,-24191
488658727,1505
488688801,-24191
488718744,1506
488748829,-24191
488778743,1506
488811348,-24191
488841362,1507
488871362,1508
488907084,1508
488931312,1508
488961312,1510
488993698,1510
489021360,1510
489051360,1511
489081361,1511
489111446,-24191
489141361,1511
489171362,-24191
489201360,1512
489228243,-24191
489258241,1512
489288299,1513
489319046,-24191
489349045,1512
489379046,-24191
489411445,1513
489441461,-24191
489471543,1514
489501446,-24191
489531460,1514
489561459,1514
489591519,-19296
489621356,1515
489651359,-24191
489681356,1515
489711341,-24191
489741354,1516
489771355,1517
489801340,1518
489829345,1518
489859668,1519
489889405,-24191
489919347,-24191
489949346,1519
489990569,-24191
490011353,-24191
490041339,1520
490071339,1520
490101354,1520
490131356,-24191
490161353,1519
490191340,-24191
490221351,1520
490251352,1520
490281353,-24191
490311354,1521
490341355,-24191
490371355,1522
490403553,-24191
490429629,-24191
490459630,1523
490489775,1524
490519630,1524
490549632,-24191
490579629,1524
490611439,-24191
490641453,1524
490671452,1525
490701452,1526
490731661,1526
490761438,1526
490791513,-24191
490821449,1527
490851536,-24191
490881449,1526
490911449,-24191
490941448,1527
490971449,-24191
491001447,1527
491029994,-24191
491076948,1528
491090098,-24191
491119976,-24191
491149990,1528
491179990,1529
491211346,1530
491241347,1530
491272672,1530
491301348,-24191
491331333,-24191
491361347,1530
491391404,1531
491421348,1531
491451349,-24191
491481347,1530
491511433,-24191
491541348,1531
491571349,-24191
491601348,1531
491629943,-24191
491659956,1532
491690014,1533
491720133,1533
491750134,-24191
491780133,1534
491811531,-24191
491841444,-24191
491871447,-6842
491901444,1535
491931449,-24191
491961448,1535
491991506,1536
492021445,1536
492051530,-24191
492081445,1535
492111445,-24191
492162659,1535
492171503,-24191
492201446,-24191
492230528,-24191
492260526,1536
492290586,-24191
492320522,1536
492350524,-24191
492380522,1537
492411440,1538
492441424,1538
492471439,1538
492501424,1538
492531528,-24191
492561444,1537
492591429,-24191
492621324,1537
492651309,1538
492682640,1538
492711328,1538
492741329,1539
492771329,1539
492801329,1539
492830591,-24191
492860575,1539
492890649,-24191
492920569,1540
492950586,-24191
492980583,1541
493011127,-24191
493041126,1541
493071126,-24191
493101125,1541
493131442,-24191
493161439,1541
493191499,-24191
493221429,1542
493251612,-24191
493281414,1542
493311438,-24191
493341436,1542
493371437,-24191
493401436,1542
493431136,-24191
493461149,1543
493491207,1544
493521128,1544
493552200,-24191
493581128,1544
493611436,-24191
493641420,1544
493671436,-24191
493701420,1544
493731436,-24191
493761420,1544
493791494,-24191
493821421,1545
493851407,-24191
493881406,1545
493911434,1546
493941434,1546
493971435,-24191
494001434,1546
494031249,-24191
494061263,1546
494091321,1547
494121238,1547
494151254,1547
494181254,1547
494211530,-24191
494241528,1547
494271530,-24191
494301528,1547
494309398,-24191
494335970,1547
494366030,-24191
494421417,1548
494451419,-24191
494481418,1548
494511432,-24191
494541430,1549
494571417,-24191
494601430,1548
494631429,1549
494661430,1549
494691488,1549
494721416,1550
494751419,-24191
494781402,1549
494811429,-24191
494841428,1549
494871429,-24191
494901428,1549
494931429,-24191
494961846,1549
494991487,-24191
495021414,-24191
495051398,1551
495081415,-24191
495111427,1551
495141428,-24191
495171427,1552
495201428,-24191
495231525,1552
495261528,-24191
